sheet,table,range,column_index,excel_column,field_name,classification,inferred_type,formula_count,value_count,error_count,sample_values,formula_signatures,confidence,required,web_mapping,validation,source_status
DSHV,T_HV,E4:BU427,24,AB,Tuần học,CALCULATED,number/Excel serial,423,423,0,1,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,25,AC,Tuần nghỉ,CALCULATED,text,423,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,26,AD,Tháng nghỉ học,CALCULATED,date/datetime (xác minh),423,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,27,AE,Column1,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,28,AF,12,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,29,AG,11,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,30,AH,10,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,31,AI,9,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,32,AJ,8,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,33,AK,7,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,34,AL,6,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,35,AM,5,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,36,AN,4,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,37,AO,3,CALCULATED,number/Excel serial,423,423,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
